FromCode,ToCode,Use
080,080,624.6083000000001
080,1205,6.591200000000001
080,3201,652.8338
080,6701,33.915299999999995
080,6901,589.8496
080,C,39315.1868
080,E,651.6593
080,I,447.0663
080,K,155.55960000000002
080,O,201.8941
080,Q,96.50190000000002
080,Q1,-13.583200000000005
080,Q2,165790.99039999998
080,Q3,24.0173
080,Q4,396.3713
080,Q5,373.0866999999999
080,Q6,930.1115999999997
080,Q7,102.79760000000002
080,Total,2512.5424
1205,080,8.807400000000001
1205,1205,120.40910000000001
1205,3201,11.2829
1205,6701,0.08370000000000002
1205,6901,3.468
1205,C,56.1629
1205,E,9.178499999999998
1205,I,4.6426
1205,K,39.30409999999999
1205,O,15.3167
1205,Q,7.211600000000001
1205,Q1,300.1390999999999
1205,Q2,1936.7662
1205,Q3,4.527899999999999
1205,Q4,6.0636
1205,Q5,3670.1851
1205,Q6,27.6097
1205,Q7,0.6214999999999999
1205,Total,385.21919999999994
3201,080,5481.9853
3201,1205,22.089299999999998
3201,3201,61587.9484
3201,6701,11618.7572
3201,6901,3342.3103000000006
3201,C,2470.0092
3201,E,61124.9774
3201,I,3518.3723
3201,K,1047.077
3201,O,9464.319900000002
3201,Q,1305.1855
3201,Q1,0.9536000000000001
3201,Q2,1192.8179
3201,Q3,106.524
3201,Q4,13311.683999999997
3201,Q5,1757.9999
3201,Q6,46242.98
3201,Q7,4200.1489
3201,Total,22710.8602
6701,080,0
6701,1205,0
6701,3201,0
6701,6701,0
6701,6901,0
6701,C,0
6701,E,0
6701,I,0
6701,K,0
6701,O,0
6701,Q,0
6701,Q1,0
6701,Q2,3537
6701,Q3,317
6701,Q4,0
6701,Q5,217909
6701,Q6,0
6701,Q7,0
6701,Total,0
6901,080,4215.048000000001
6901,1205,181.7258
6901,3201,6881.3678
6901,6701,401.0788999999999
6901,6901,35860.793999999994
6901,C,13347.9324
6901,E,14105.8093
6901,I,8651.678100000001
6901,K,11897.696999999998
6901,O,9702.1099
6901,Q,6442.8392
6901,Q1,0.29930000000000007
6901,Q2,7071.226900000001
6901,Q3,5602.474899999999
6901,Q4,791.2144000000001
6901,Q5,6385.1500000000005
6901,Q6,10115.5838
6901,Q7,50.9509
6901,Total,73809.0189
C,080,5277.9349999999995
C,1205,271.207
C,3201,28047.831199999997
C,6701,447.5101
C,6901,3511.0323
C,C,45421.0973
C,E,29462.6217
C,I,7565.1568
C,K,1008.6521
C,O,4593.2833
C,Q,7698.4221
C,Q1,64.02820000000021
C,Q2,98632.1461
C,Q3,5822.430500000001
C,Q4,5583.0803
C,Q5,79861.7801
C,Q6,15392.7814
C,Q7,767.9103
C,Total,48161.0948
E,080,3236.8298
E,1205,8.8078
E,3201,9683.2164
E,6701,3919.7668
E,6901,1386.912
E,C,613.2324
E,E,10324.3377
E,I,3648.5339999999997
E,K,569.0305000000001
E,O,5182.0397
E,Q,615.2773
E,Q1,0.21380000000000002
E,Q2,867.2407000000001
E,Q3,298.34869999999995
E,Q4,35848.4116
E,Q5,121.63749999999999
E,Q6,132050.2413
E,Q7,11704.963100000003
E,Total,9890.9581
I,080,2890.8025000000002
I,1205,326.49
I,3201,5353.933599999999
I,6701,53.8506
I,6901,4429.603
I,C,19134.9173
I,E,6436.2807999999995
I,I,28032.4352
I,K,3468.6425
I,O,4730.134599999999
I,Q,3245.8774
I,Q1,215.57000000000002
I,Q2,19923.4405
I,Q3,19691.6169
I,Q4,1386.3294999999998
I,Q5,27885.170299999998
I,Q6,3470.6063999999997
I,Q7,538.0071
I,Total,41897.2923
K,080,3873.5771
K,1205,252.4831
K,3201,5077.4126
K,6701,23828.325
K,6901,8072.114999999999
K,C,4726.2506
K,E,4502.7175
K,I,8578.5141
K,K,30902.1771
K,O,8129.807100000001
K,Q,5137.392699999999
K,Q1,0
K,Q2,5451.8734
K,Q3,143.3953
K,Q4,569.9744
K,Q5,83981.63079999998
K,Q6,2400.814
K,Q7,35.91330000000001
K,Total,64299.6271
O,080,1117.3058
O,1205,21.28
O,3201,939.516
O,6701,7.4101
O,6901,2725.3307
O,C,2089.9051
O,E,1972.6126
O,I,3234.1549
O,K,1124.1864
O,O,5430.0116
O,Q,1302.167
O,Q1,0
O,Q2,254.34650000000005
O,Q3,162914
O,Q4,401.2084
O,Q5,1121.7410999999997
O,Q6,2739.4839999999995
O,Q7,50.85060000000001
O,Total,9594.4889
P1,080,13986
P1,1205,1063
P1,3201,46220
P1,6701,0
P1,6901,83755
P1,C,66757
P1,E,31472
P1,I,44982
P1,K,51136
P1,O,90810
P1,Q,135342
P1,Q1,0
P1,Q2,0
P1,Q3,0
P1,Q4,0
P1,Q5,0
P1,Q6,0
P1,Q7,0
P1,Total,429144
P2,080,141460
P2,1205,771
P2,3201,40399
P2,6701,157415
P2,6901,34019
P2,C,50142
P2,E,33771
P2,I,41617
P2,K,99508
P2,O,19385
P2,Q,26863
P2,Q1,0
P2,Q2,0
P2,Q3,0
P2,Q4,0
P2,Q5,0
P2,Q6,0
P2,Q7,0
P2,Total,315013
P3,080,495.6843
P3,1205,53.1496
P3,3201,1725.935
P3,6701,3288.4437
P3,6901,1671.3116
P3,C,1445.3872000000001
P3,E,705.1395
P3,I,1414.0276999999999
P3,K,4580.4857999999995
P3,O,438.7432
