period,CashRate,UnempRate,Inflation,LabourEarnGrowth,LabourEarnIndex,GDPGrowth,HousePriceGrowth,HousePriceIndex,Zindex
1990 Q3,14,7.3746468,5.7,8.747458028,47862,0.100126672,0.805639476,8.335794237,-1.660702485
1990 Q4,12.57894737,8.0193642,6.9,8.635256617,47622,0.973181472,1.104417671,8.385759038,-1.549564152
1991 Q1,12,9.182637,5.5,5.424669614,47433,-1.154163232,0.4995005,8.377431571,-2.571612083
1991 Q2,10.5,9.5433177,4.3,3.732942281,47099,-1.435101225,0.792079208,8.477361172,-2.724209697
1991 Q3,9.547619048,10.033271,4.5,3.121704443,47246,-0.432672848,4.795204795,8.735512642,-2.130869435
1991 Q4,8.5,10.4740477,2.6,3.532067371,47942,-0.970739084,4.170804369,8.735512642,-2.481323403
1992 Q1,7.5,10.4965652,3.1,3.429659045,48085,1.125938282,3.578528827,8.677220375,-1.929395542
1992 Q2,6.5,10.8123823,2.7,3.944062529,48708,2.017836189,2.652259332,8.702202775,-1.853154718
1992 Q3,5.75,10.6173277,2.1,4.500248031,49401,2.568068295,-0.285986654,8.710530242,-1.953008306
1992 Q4,5.75,11.2178612,1.9,4.363755736,49753,4.650489427,0.667302193,8.79380491,-1.399824102
1993 Q1,5.597826087,10.8580858,2.4,3.610307138,49827,4.545349241,2.303262956,8.877079577,-1.153539921
1993 Q2,5.25,10.9941276,2.8,3.395860327,50486,4.415939342,2.679425837,8.935371845,-1.189314775
1993 Q3,4.75,10.7423852,2.9,2.120757264,50352,3.520584577,2.676864245,8.943699312,-1.384927517
1993 Q4,4.75,10.7569015,2.6,-0.002240705,50968,3.271065573,2.651515152,9.026973979,-1.465781096
1994 Q1,4.75,10.3536543,2.2,2.178492421,52496,4.239590489,2.814258912,9.126903581,-1.047983594
1994 Q2,4.75,9.8206269,2.3,2.958031953,53838,4.86897822,3.355079217,9.235160649,-0.653668471
1994 Q3,5.5,9.3534475,2.5,0.712598616,53412,5.550152484,4.841713222,9.376727584,-0.160130849
1994 Q4,7.05,8.9355896,2.4,2.398426615,54245,4.738220348,3.413284133,9.33509025,-0.438706512
1995 Q1,7.5,8.6170072,2.8,1.787167259,55640,3.065888325,3.284671533,9.426692384,-0.8598542
1995 Q2,7.5,8.3539352,3.2,-0.170843861,56142,2.282801884,1.352569883,9.36007265,-1.227609664
1995 Q3,7.5,8.3621825,3.8,4.346840427,57457,3.787799824,0,9.376727584,-0.929499849
1995 Q4,7.5,8.1442984,4.1,5.698855249,58798,2.684203795,0.267618198,9.36007265,-1.167170093
1996 Q1,7.5,8.4210649,3.5,4.864115231,59252,4.362820322,-0.883392226,9.343417717,-0.870823083
1996 Q2,7.5,8.2551855,3.2,6.480378101,60160,4.588177299,1.067615658,9.460002251,-0.546605351
1996 Q3,7,8.5757113,2.3,5.933473262,61446,3.093189359,1.243339254,9.493312118,-1.060922228
1996 Q4,6.175,8.6307638,2.2,4.167895508,62413,4.073334485,1.690391459,9.518294519,-0.737085882
1997 Q1,6,8.5923058,2.6,4.068088079,62784,3.030973801,2.762923351,9.601569186,-0.919722986
1997 Q2,5.5,8.3316035,2.1,5.766513615,64446,5.434821032,2.816901408,9.726481188,-0.127561345
1997 Q3,5,8.067398,1.5,4.105541226,64314,4.73242049,4.298245614,9.90135799,-0.101976685
1997 Q4,5,7.9105397,1.5,3.463367476,65069,5.27516649,6.036745407,10.09288973,0.290937738
1998 Q1,5,7.8834665,1.1,3.330295056,65734,5.296636179,7.718993929,10.34271373,0.486771987
1998 Q2,5,7.8326533,1.4,1.505915954,66681,3.196665127,8.647260274,10.56755533,-0.021892501
1998 Q3,5,7.6334254,1.7,4.125790657,68663,5.027178463,6.728343146,10.56755533,0.369604219
1998 Q4,4.761904762,7.1837743,1.5,4.537768022,69051,5.089680919,6.435643564,10.74243213,0.482238293
1999 Q1,4.75,7.01274,1.2,4.05947005,69635,5.173393767,5.716586151,10.93396387,0.47716032
1999 Q2,4.75,6.6536332,1,4.837934724,70793,4.54159853,5.831363278,11.18378787,0.402476848
1999 Q3,4.75,7.0411854,1.8,2.166837293,71074,3.776599325,7.80141844,11.39197454,0.280079098
1999 Q4,5,6.6845876,1.8,2.797096693,73075,3.962759275,9.534883721,11.76671055,0.62247106
2000 Q1,5.5,6.5651387,2.5,4.397374512,74329,3.623974143,9.59634425,11.98322468,0.561970394
2000 Q2,6,6.1153506,2.8,2.086232826,75181,4.237598326,9.679821296,12.26635855,0.878881646
2000 Q3,6.25,5.9629648,2.7,3.559958416,76526,3.330238401,7.529239766,12.24970362,0.419670332
2000 Q4,6.25,6.244,2.5,5.673384991,77509,1.229172541,6.581740977,12.54116496,-0.38492706
2001 Q1,5.545454545,6.4587559,2.9,6.431428293,78931,1.868468384,6.949270327,12.81597136,-0.215504776
2001 Q2,5,6.9332918,3,8.031004088,80053,1.763673104,8.214528174,13.27398203,-0.242491811
2001 Q3,4.775,6.841938,2.5,7.402226974,80928,2.67353357,14.00407886,13.96516177,0.679077839
2001 Q4,4.276315789,6.8614519,3.1,4.873943451,81859,4.310213339,15.53784861,14.48979218,1.325202258
2002 Q1,4.25,6.4303576,3,4.097128804,82913,4.017905491,17.34892788,15.03940499,1.554814665
2002 Q2,4.723684211,6.4962065,2.8,4.873171879,84081,4.959732286,18.88331242,15.78054953,1.981826922
2002 Q3,4.75,6.3123341,3.2,5.084636865,85589,4.052754013,17.29278473,16.38012714,1.592088695
2002 Q4,4.75,6.1822578,2.9,3.688626944,86147,3.639715816,18.44827586,17.16290901,1.630813833
